Size,Data Type,Time
100,char,0.000001100
1000,char,0.000000900
10000,char,0.000001400
100000,char,0.000000900
1000000,char,0.000001000
10000000,char,0.000001700
100000000,char,0.000001600
100,short,0.000000800
1000,short,0.000000800
10000,short,0.000000800
100000,short,0.000000900
1000000,short,0.000001200
10000000,short,0.000001000
100000000,short,0.000001400
100,int,0.000001000
1000,int,0.000001000
10000,int,0.000000800
100000,int,0.000000800
1000000,int,0.000001200
10000000,int,0.000001900
100000000,int,0.000002200
100,float,0.000000800
1000,float,0.000001100
10000,float,0.000000900
100000,float,0.000001700
1000000,float,0.000003300
10000000,float,0.000001700
100000000,float,0.000001200
100,double,0.000000900
1000,double,0.000000800
10000,double,0.000000800
100000,double,0.000000800
1000000,double,0.000002100
10000000,double,0.000002100
100000000,double,0.000001600
